"credit_risk","age","amount","credit_history","duration","employment_duration","foreign_worker","housing","installment_rate","job","number_credits","other_debtors","other_installment_plans","people_liable","personal_status_sex","present_residence","property","purpose","savings","status","telephone"
"1","good",67,1169,"all credits at this bank paid back duly",6,">= 7 yrs","no","rent","< 20","skilled employee/official","2-3","none","none","0 to 2","male : married/widowed",">= 7 yrs","unknown / no property","furniture/equipment","... >= 1000 DM","no checking account","yes (under customer name)"
"2","bad",22,5951,"no credits taken/all credits paid back duly",48,"1 <= ... < 4 yrs","no","rent","25 <= ... < 35","skilled employee/official","1","none","none","0 to 2","female : non-single or male : single","1 <= ... < 4 yrs","unknown / no property","furniture/equipment","unknown/no savings account","... < 0 DM","no"
"3","good",49,2096,"all credits at this bank paid back duly",12,"4 <= ... < 7 yrs","no","rent","25 <= ... < 35","unskilled - resident","1","none","none","3 or more","male : married/widowed","4 <= ... < 7 yrs","unknown / no property","repairs","unknown/no savings account","... >= 200 DM / salary for at least 1 year","no"
"4","good",45,7882,"no credits taken/all credits paid back duly",42,"4 <= ... < 7 yrs","no","own","25 <= ... < 35","skilled employee/official","1","guarantor","none","3 or more","male : married/widowed",">= 7 yrs","car or other","car (used)","unknown/no savings account","no checking account","no"
"5","bad",53,4870,"existing credits paid back duly till now",24,"1 <= ... < 4 yrs","no","own","20 <= ... < 25","skilled employee/official","2-3","none","none","3 or more","male : married/widowed",">= 7 yrs","real estate","others","unknown/no savings account","no checking account","no"
"6","good",35,9055,"no credits taken/all credits paid back duly",36,"1 <= ... < 4 yrs","no","own","25 <= ... < 35","unskilled - resident","1","none","none","3 or more","male : married/widowed",">= 7 yrs","real estate","repairs","... >= 1000 DM","... >= 200 DM / salary for at least 1 year","yes (under customer name)"
"7","good",53,2835,"no credits taken/all credits paid back duly",24,">= 7 yrs","no","rent","20 <= ... < 25","skilled employee/official","1","none","none","0 to 2","male : married/widowed",">= 7 yrs","car or other","car (used)","100 <= ... < 500 DM","... >= 200 DM / salary for at least 1 year","no"
"8","good",35,6948,"no credits taken/all credits paid back duly",36,"1 <= ... < 4 yrs","no","for free","25 <= ... < 35","manager/self-empl/highly qualif. employee","1","none","none","0 to 2","male : married/widowed","1 <= ... < 4 yrs","building soc. savings agr. / life insurance","car (new)","unknown/no savings account","... < 0 DM","yes (under customer name)"
"9","good",61,3059,"no credits taken/all credits paid back duly",12,"4 <= ... < 7 yrs","no","rent","25 <= ... < 35","unskilled - resident","1","none","none","0 to 2","male : divorced/separated",">= 7 yrs","unknown / no property","furniture/equipment","500 <= ... < 1000 DM","... >= 200 DM / salary for at least 1 year","no"
"10","bad",28,5234,"all credits at this bank paid back duly",30,"unemployed","no","rent","< 20","manager/self-empl/highly qualif. employee","2-3","none","none","0 to 2","female : single","1 <= ... < 4 yrs","building soc. savings agr. / life insurance","others","unknown/no savings account","... < 0 DM","no"
"11","bad",25,1295,"no credits taken/all credits paid back duly",12,"< 1 yr","no","for free","20 <= ... < 25","skilled employee/official","1","none","none","0 to 2","female : non-single or male : single","< 1 yr","building soc. savings agr. / life insurance","others","unknown/no savings account","... < 0 DM","no"
"12","bad",24,4308,"no credits taken/all credits paid back duly",48,NA,"no","for free","20 <= ... < 25","skilled employee/official","1","none","none","0 to 2","female : non-single or male : single",">= 7 yrs","car or other","retraining","unknown/no savings account","no checking account","no"
"13","good",NA,1567,"no credits taken/all credits paid back duly",12,"1 <= ... < 4 yrs","no","rent",">= 35","skilled employee/official",NA,"none","none","0 to 2","female : non-single or male : single","< 1 yr","building soc. savings agr. / life insurance","furniture/equipment","unknown/no savings account","... < 0 DM","yes (under customer name)"
"14","bad",60,1199,"all credits at this bank paid back duly",24,">= 7 yrs","no","rent","< 20","unskilled - resident","2-3","none","none","0 to 2","male : married/widowed",">= 7 yrs","building soc. savings agr. / life insurance","others","unknown/no savings account","no checking account","no"
"15","good",28,1403,"no credits taken/all credits paid back duly",15,"1 <= ... < 4 yrs","no","for free","25 <= ... < 35","skilled employee/official","1","none","none","0 to 2","female : non-single or male : single",">= 7 yrs","building soc. savings agr. / life insurance","others","unknown/no savings account","no checking account","no"
"16","bad",32,1282,"no credits taken/all credits paid back duly",24,"1 <= ... < 4 yrs","no","rent","< 20","unskilled - resident","1","none","none","0 to 2","female : non-single or male : single","1 <= ... < 4 yrs","building soc. savings agr. / life insurance","furniture/equipment","... < 100 DM","no checking account","no"
"17","good",53,2424,"all credits at this bank paid back duly",24,">= 7 yrs","no","rent","< 20","skilled employee/official","2-3","none","none","0 to 2","male : married/widowed",">= 7 yrs","car or other","furniture/equipment","... >= 1000 DM","... >= 200 DM / salary for at least 1 year","no"
"18","good",25,8072,"delay in paying off in the past",30,"< 1 yr","no","rent","25 <= ... < 35","skilled employee/official","4-5","none","bank","0 to 2","male : married/widowed","4 <= ... < 7 yrs","building soc. savings agr. / life insurance","retraining","... >= 1000 DM","no checking account","no"
